name	path	ableton_version_full	file_size_mb	created	modified	num_tracks	ableton_version	creation_year	last_modified_year	track_types	device_types	plugins_vst	plugins_au
synth gorve	./_electronic dark haaus/synth gorve Project/synth gorve.als	11.0_11300	0.13	2024-12-02 21:37:29	2024-12-02 21:37:29	16	11	2024	2024	GroupTrack, AudioTrack, MidiTrack, ReturnTrack, MasterTrack	PluginDevice, Eq8, AudioEffectGroupDevice, InstrumentGroupDevice, AutoFilter, MidiArpeggiator, StringStudio, BeatRepeat, GlueCompressor, Delay, Flanger, Phaser	iZotope Alloy 2, Zebra2	
deep house dancuy	./_electronic dark haaus/deep house dancuy Project/deep house dancuy.als	10.0_377	0.37	2024-11-02 21:40:38	2021-10-18 19:48:03	9	10	2024	2021	MidiTrack, AudioTrack, MasterTrack	PluginDevice, Compressor2, DrumGroupDevice, Eq8	Komplete Kontrol, Maschine 2, Solid Bus Comp	
dream beatjar	./_electronic dark haaus/dream beatjar Project/dream beatjar.als	10.0_377	1.73	2024-11-30 22:19:08	2024-11-30 22:18:40	11	10	2024	2024	MidiTrack, AudioTrack, ReturnTrack, MasterTrack	DrumGroupDevice, AudioEffectGroupDevice, Eq8, AutoFilter, AutoPan, InstrumentGroupDevice, Compressor2, Reverb, Delay, PluginDevice	iZotope Ozone 5	
jarrey groove loops	./_electronic dark haaus/jarry groove loops wip/jarrey groove loops.als	10.0_377	0.01	2024-12-02 21:39:37	2024-12-02 21:39:31	5	10	2024	2024	MidiTrack, AudioTrack, ReturnTrack, MasterTrack	Reverb, Delay		
groovr	./_electronic dark haaus/jarry groove loops wip/groovr.als	10.0_377	0.22	2024-12-02 21:11:46	2024-12-02 21:08:25	9	10	2024	2024	AudioTrack, MidiTrack, ReturnTrack, MasterTrack	DrumGroupDevice, PluginDevice, InstrumentGroupDevice, Reverb, Delay	Zebra2	
Live Drum Machine Upbeat [Live Set] missing	./_electronic dark haaus/jarry groove loops wip/Live Drum Machine Upbeat live Project/Live Drum Machine Upbeat [Live Set] missing.als	10.0_377	0.29	2024-12-02 20:58:40	2024-12-02 20:57:32	11	10	2024	2024	AudioTrack, MidiTrack, MasterTrack	DrumGroupDevice, Compressor2		
dark beat +	./_electronic dark haaus/dark beat Project/dark beat +.als	10.0_377	0.07	2024-11-02 21:40:38	2021-10-18 19:58:37	8	10	2024	2021	AudioTrack, MidiTrack, ReturnTrack, MasterTrack	PluginDevice, Eq8, Reverb, Delay	Maschine 2, Guitar Rig 5, Solid Bus Comp	
dark beat	./_electronic dark haaus/dark beat Project/dark beat.als	10.0_370	0.19	2024-11-02 21:40:38	2019-07-08 00:14:57	6	10	2024	2019	AudioTrack, MidiTrack, ReturnTrack, MasterTrack	PluginDevice, Eq8, Reverb, CrossDelay	Maschine 2, Solid Bus Comp	
slooow house start [dj]	./_electronic dark haaus/slooow house start [house] Project/slooow house start [dj].als	10.0_370	0.44	2024-11-02 21:40:43	2019-04-07 21:35:04	13	10	2024	2019	AudioTrack, MidiTrack, ReturnTrack, MasterTrack	Compressor2, AutoFilter, DrumGroupDevice, Reverb, CrossDelay		
slooow house mix	./_electronic dark haaus/slooow house start [house] Project/slooow house mix.als	10.0_370	0.47	2024-11-02 21:40:43	2019-04-07 22:37:30	13	10	2024	2019	AudioTrack, MidiTrack, ReturnTrack, MasterTrack	Compressor2, AutoFilter, DrumGroupDevice, Reverb, CrossDelay		
some synths loops	./_electronic dark haaus/some synths loops wip Project/some synths loops.als	10.0_370	0.21	2024-11-02 21:40:43	2019-04-07 22:31:15	7	10	2024	2019	MidiTrack, ReturnTrack, MasterTrack	Operator, InstrumentGroupDevice, DrumGroupDevice, Reverb, CrossDelay		
slow housy pluck	./_electronic dark haaus/slow housy pluck loops Project/slow housy pluck.als	10.0_370	0.26	2024-11-02 21:40:43	2019-04-09 20:31:19	6	10	2024	2019	MidiTrack, ReturnTrack, MasterTrack	DrumGroupDevice, Compressor2, InstrumentGroupDevice, Reverb, CrossDelay		
ooowwwaay haus	./_electronic dark haaus/ooowwwaay haus a10 Project/ooowwwaay haus.als	10.0_377	0.11	2024-11-02 21:40:43	2019-09-10 00:23:43	11	10	2024	2019	AudioTrack, MidiTrack, ReturnTrack, MasterTrack	Eq8, Compressor2, AudioEffectGroupDevice, AutoFilter, MultiSampler, UltraAnalog, InstrumentGroupDevice, GrainDelay, Delay		
chill dark mike jake	./_electronic dark haaus/chill dark mike jake Project/chill dark mike jake.als	10.0_377	0.75	2024-11-02 21:40:37	2020-11-05 22:53:48	34	10	2024	2020	MidiTrack, GroupTrack, AudioTrack, ReturnTrack, MasterTrack	InstrumentImpulse, Eq8, StereoGain, AudioEffectGroupDevice, Chorus, Compressor2, AutoPan, AutoFilter, BeatRepeat, MidiArpeggiator, Delay, OriginalSimpler, Limiter, InstrumentGroupDevice, Operator, Reverb, DrumGroupDevice, StringStudio, GlueCompressor, UltraAnalog, Collision, PluginDevice	iZotope Ozone 5	
slow daft mike2b	./_electronic dark haaus/chill dark mike jake Project/slow daft mike2b MISSING Project/slow daft mike2b.als	11.0_436	0.22	2024-11-02 21:40:37	2022-11-22 00:06:40	12	11	2024	2022	AudioTrack, MidiTrack, ReturnTrack, MasterTrack	DrumGroupDevice, StereoGain, Reverb, Eq8, MidiArpeggiator, UltraAnalog, Compressor2, Delay, GlueCompressor		
drum an bassd	./____darkwave/drum an bassd Project/drum an bassd.als	10.0_377	0.19	2024-11-02 21:40:00	2021-12-03 23:22:37	13	10	2024	2021	MidiTrack, AudioTrack, ReturnTrack, MasterTrack	PluginDevice, Compressor2, AudioEffectGroupDevice, Eq8, Echo, BeatRepeat, Phaser, Reverb, Delay	Komplete Kontrol, Guitar Rig 5, Maschine 2, Solid Bus Comp	
dark noir	./____darkwave/dark noir Project/dark noir.als	11.0_436	0.06	2024-11-02 21:40:50	2022-11-15 20:27:14	7	11	2024	2022	AudioTrack, MidiTrack, MasterTrack	StereoGain, PluginDevice	Komplete Kontrol	
dark jazz tirbal jams	./____darkwave/dark noir Project/dark jazz tirbal jams.als	11.0_11202	0.2	2024-11-02 21:40:50	2023-05-09 00:35:32	6	11	2024	2023	AudioTrack, MidiTrack, MasterTrack	PluginDevice, Echo	Guitar Rig 5, Komplete Kontrol, Maschine 2	
dark synth song 3	./____darkwave/dark synth song Project/dark synth song 3.als	11.0_11300	1.44	2024-12-02 22:20:16	2024-12-02 22:20:16	13	11	2024	2024	AudioTrack, MidiTrack, ReturnTrack, MasterTrack	PluginDevice, Compressor2, Eq8, Reverb, Delay	Komplete Kontrol, Guitar Rig 5, Maschine 2, Solid Bus Comp	
dark electric jam 3	./____darkwave/dark synth song Project/dark electric jam 3.als	11.0_11300	1.44	2024-12-02 22:20:59	2024-12-02 22:20:59	13	11	2024	2024	AudioTrack, MidiTrack, ReturnTrack, MasterTrack	PluginDevice, Compressor2, Eq8, Reverb, Delay	Komplete Kontrol, Guitar Rig 5, Maschine 2, Solid Bus Comp	
autotune sad minor guitar	./____darkwave/vox autotune sad minor guitar Project/autotune sad minor guitar.als	10.0_377	0.32	2024-11-02 21:40:53	2021-06-05 01:07:48	9	10	2024	2021	MidiTrack, AudioTrack, ReturnTrack, MasterTrack	PluginDevice, Compressor2, Eq8, Reverb, Delay	Komplete Kontrol, Guitar Rig 5, Reaktor 6 FX, Dirt, Maschine 2, Solid Bus Comp	
dark synth wave template	./____darkwave/dark synth wave template Project/dark synth wave template.als	10.0_377	0.25	2024-12-02 22:23:36	2024-12-02 22:23:24	13	10	2024	2024	AudioTrack, MidiTrack, ReturnTrack, MasterTrack	PluginDevice, Compressor2, Eq8, Reverb, Delay	Komplete Kontrol, Guitar Rig 5, Maschine 2, Solid Bus Comp	
dark synth wave jam	./____darkwave/dark synth wave template Project/dark synth wave jam.als	11.0_11300	0.39	2024-12-02 22:25:08	2024-12-02 22:25:08	16	11	2024	2024	AudioTrack, MidiTrack, ReturnTrack, MasterTrack	PluginDevice, Compressor2, Eq8, Reverb, Delay	Komplete Kontrol, Guitar Rig 5, Maschine 2, Solid Bus Comp	
death flutes a10	./____darkwave/death flutes Project/death flutes a10.als	10.0_377	0.34	2024-12-02 22:41:23	2024-12-02 22:40:13	8	10	2024	2024	MidiTrack, AudioTrack, ReturnTrack, MasterTrack	PluginDevice, Compressor2, Eq8, Reverb, Delay	Komplete Kontrol, Guitar Rig 5, Maschine 2, Solid Bus Comp, iZotope Ozone 5	
traoppy	./____darkwave/death flutes Project/traoppy.als	11.0_11300	0.27	2024-11-30 23:26:55	2024-11-30 23:26:55	10	11	2024	2024	MidiTrack, AudioTrack, ReturnTrack, MasterTrack	PluginDevice, Compressor2, Eq8, Reverb, Delay	Komplete Kontrol, Guitar Rig 5, Maschine 2, Solid Bus Comp	
diviosn o joy	./____darkwave/diviosn o joy Project/diviosn o joy.als	11.0_436	0.5	2024-11-02 21:40:52	2022-11-12 19:37:29	9	11	2024	2022	AudioTrack, MidiTrack, MasterTrack	Gate, Eq8, StereoGain, PluginDevice, AutoPan, Compressor2	Guitar Rig 5, Komplete Kontrol, Maschine 2	
MORE of a jam	./____darkwave/makings of a jam Project/MORE of a jam.als	11.0_436	0.53	2024-11-02 21:41:08	2022-11-12 19:31:14	14	11	2024	2022	AudioTrack, GroupTrack, MidiTrack, ReturnTrack, MasterTrack	StereoGain, AudioEffectGroupDevice, Eq8, PluginDevice, AutoFilter, Compressor2, Reverb, Delay	Guitar Rig 5, iZotope Ozone 5, Komplete Kontrol, Maschine 2, Reaktor 6 FX	
