name	path	ableton_version_full	file_size_mb	created	modified	num_tracks	ableton_version	creation_year	last_modified_year	track_types	device_types	plugins_vst	plugins_au
makings of a jam	./____darkwave/makings of a jam Project/makings of a jam.als	10.0_377	0.27	2024-11-02 21:41:29	2021-07-07 23:52:37	13	10	2024	2021	AudioTrack, GroupTrack, MidiTrack, ReturnTrack, MasterTrack	StereoGain, AudioEffectGroupDevice, Eq8, PluginDevice, Compressor2, Reverb, Delay	Reaktor 6 FX, Guitar Rig 5, iZotope Ozone 5, Komplete Kontrol, Maschine 2	
Ryan Live samples	./____darkwave/wip/synths ryan live/Ryan Live samples.als	11.0_11300	0.33	2024-12-02 22:13:00	2024-12-02 22:13:00	11	11	2024	2024	AudioTrack, MidiTrack, MasterTrack	Compressor2, AutoFilter, MidiArpeggiator, PluginDevice, DrumGroupDevice, Reverb, BeatRepeat, Echo	Zebra2	
beat jam sombr	./____darkwave/wip/sombre knosajggebeat jam Project/beat jam sombr.als	10.0_377	0.09	2024-11-02 21:41:30	2021-06-06 00:32:17	4	10	2024	2021	AudioTrack, MidiTrack, MasterTrack	StereoGain, Eq8, Compressor2, BeatRepeat, PluginDevice, AudioEffectGroupDevice	Maschine 2	
dark electtro slow start	./____darkwave/wip/dark electtro slow start Project/dark electtro slow start.als	10.0_377	0.14	2024-11-02 21:41:30	2021-07-24 00:44:01	9	10	2024	2021	MidiTrack, AudioTrack, ReturnTrack, MasterTrack	PluginDevice, Compressor2, Eq8, Reverb, Delay	Komplete Kontrol, Maschine 2, Guitar Rig 5, Solid Bus Comp	
beat with guitar nior	./____darkwave/wip/beat with guitar nior Project/beat with guitar nior.als	10.0_377	0.09	2024-11-02 21:41:29	2021-12-04 00:24:18	7	10	2024	2021	AudioTrack, MidiTrack, MasterTrack	Gate, StereoGain, PluginDevice, Eq8, Compressor2	Guitar Rig 5, Maschine 2, Komplete Kontrol	
chill dead synths and crunch 2	./____darkwave/wip/dead synths Project/chill dead synths and crunch 2.als	10.0_377	0.12	2024-11-30 23:10:44	2024-11-30 23:10:11	6	10	2024	2024	MidiTrack, AudioTrack, ReturnTrack, MasterTrack	PluginDevice, Compressor2, AutoFilter, Eq8, Reverb, Delay	Komplete Kontrol, Maschine 2, Solid Bus Comp	
funky synth bass	./____darkwave/wip/funky synth bass Project/funky synth bass.als	10.0_377	0.13	2024-12-02 19:16:21	2024-12-02 19:16:00	8	10	2024	2024	MidiTrack, AudioTrack, ReturnTrack, MasterTrack	PluginDevice, Compressor2, Eq8, GrainDelay, Reverb, Delay	Komplete Kontrol, Maschine 2, iZotope Alloy 2	
weord	./____darkwave/wip/weord Project/weord.als	10.0_377	0.11	2024-11-02 21:41:30	2019-12-15 22:15:34	4	10	2024	2019	MidiTrack, MasterTrack	PluginDevice, InstrumentGroupDevice	Maschine 2	
guitarsolo erie tape stuck loop	./____darkwave/wip/guitarsolo erie tape stuck loop Project/guitarsolo erie tape stuck loop.als	11.0_436	0.1	2024-11-02 21:42:47	2022-11-12 20:12:45	6	11	2024	2022	AudioTrack, MidiTrack, MasterTrack	StereoGain, Gate, AudioEffectGroupDevice, PluginDevice, Eq8	Guitar Rig 5, Maschine 2	
beet	./____darkwave/beet Project/beet.als	11.0_11300	0.14	2024-11-30 19:24:30	2024-11-30 19:24:30	5	11	2024	2024	MidiTrack, AudioTrack, MasterTrack	PluginDevice, Eq8, BeatRepeat, Echo	Maschine 2, Guitar Rig 5, iZotope Ozone 5	
2tr dm am shuf	./__acoustic tracks/_acoustic jams sorted/2tr dm am shuf.als	11.0_11202	0.01	2024-11-02 21:43:27	2023-05-29 22:54:40	4	11	2024	2023	AudioTrack, MasterTrack			
2tr fm7 cm7 em am dreaem	./__acoustic tracks/_acoustic jams sorted/2tr fm7 cm7 em am dreaem.als	11.0_11202	0.13	2024-11-02 21:44:34	2023-05-29 23:19:43	4	11	2024	2023	AudioTrack, MidiTrack, MasterTrack	Compressor2, Eq8, PluginDevice	Maschine 2, iZotope Ozone 5	
1tr Untitled jam	./__acoustic tracks/_acoustic jams sorted/1tr Untitled jam.als	11.0_11300	0.01	2024-11-03 00:00:06	2023-10-02 00:30:07	2	11	2024	2023	AudioTrack, MasterTrack			
2tr gm cm f dm am thief cry	./__acoustic tracks/_acoustic jams sorted/2tr gm cm f dm am thief cry.als	11.0_11202	0.13	2024-11-03 00:00:08	2023-05-29 23:25:26	4	11	2024	2023	AudioTrack, MidiTrack, MasterTrack	Compressor2, Eq8, PluginDevice	Maschine 2, iZotope Ozone 5	
_acoustic jams sorted	./__acoustic tracks/_acoustic jams sorted/_acoustic jams sorted.als	11.0_11300	0.32	2024-12-02 20:24:18	2024-12-02 20:24:18	33	11	2024	2024	GroupTrack, AudioTrack, MasterTrack	AudioEffectGroupDevice, PluginDevice, Delay, Gate, Eq8, Compressor2, StereoGain, Echo, Overdrive, MultibandDynamics	Guitar Rig 5, GS-201, iZotope Ozone 5	
2tr c em sky blue	./__acoustic tracks/_acoustic jams sorted/2tr c em sky blue.als	11.0_436	0.01	2024-11-03 00:00:07	2022-12-31 17:00:37	3	11	2024	2022	AudioTrack, MasterTrack			
raintun blkuezy acoustic jam	./__acoustic tracks/_acoustic jams sorted/2tr alt-tune raintun blkuezy acoustic jam Project/raintun blkuezy acoustic jam.als	11.0_11300	0.04	2024-11-02 21:43:27	2023-09-30 15:13:46	3	11	2024	2023	AudioTrack, MasterTrack	StereoGain, Eq8, Compressor2, GlueCompressor, PluginDevice	iZotope Ozone 5	
_acoustic pop no-drum	./__acoustic tracks/_acoustic jams sorted/acoustic pop loop demos Project/_acoustic pop no-drum.als	11.0_11202	0.02	2024-11-02 21:43:27	2023-05-29 22:45:02	8	11	2024	2023	AudioTrack, MasterTrack	Compressor2, PluginDevice	iZotope Ozone 5	
surff classicaL sh	./__acoustic tracks/_acoustic jams sorted/acoustic pop loop demos Project/source projects/surf classicaL f  Project/surff classicaL sh.als	11.0_11300	0.03	2024-11-30 23:18:40	2024-11-30 23:18:30	4	11	2024	2024	AudioTrack, ReturnTrack, MasterTrack	PluginDevice, AuPluginDevice	iZotope Ozone 5	GS-201
Acoustic Hydros	./__acoustic tracks/_acoustic jams sorted/acoustic pop loop demos Project/source projects/acoustic Hydros Project/Acoustic Hydros.als	11.0_11202	0.07	2024-11-02 21:44:14	2023-05-29 22:45:10	8	11	2024	2023	AudioTrack, ReturnTrack, MasterTrack	Eq8, Reverb		
Green the color	./__acoustic tracks/_acoustic jams sorted/acoustic pop loop demos Project/source projects/Green the color Project/Green the color.als	11.0_11202	0.02	2024-11-02 21:44:34	2023-05-29 22:45:10	9	11	2024	2023	GroupTrack, AudioTrack, ReturnTrack, MasterTrack	AuPluginDevice, PluginDevice	iZotope Ozone 5	GS-201
Dark Islan Ukelele 	./__acoustic tracks/_acoustic jams sorted/acoustic pop loop demos Project/source projects/Dark Islan Ukelele Project/Dark Islan Ukelele .als	11.0_11202	0.15	2024-11-02 21:44:34	2023-05-29 22:45:11	9	11	2024	2023	AudioTrack, ReturnTrack, MasterTrack	Eq8, Reverb, PluginDevice	GS-201	
Bright Acoustic Intro	./__acoustic tracks/_acoustic jams sorted/acoustic pop loop demos Project/source projects/acoustic bright  Intro/Bright Acoustic Intro.als	11.0_11300	0.04	2024-12-02 21:05:33	2024-12-02 21:04:27	6	11	2024	2024	AudioTrack, MasterTrack	StereoGain, PluginDevice	iZotope Ozone 5	
raw jam acoustic bed	./__acoustic tracks/_acoustic jams sorted/4tr raw jam acoustic bed Project/raw jam acoustic bed.als	11.0_11300	0.04	2024-11-02 21:44:34	2023-10-02 00:52:18	9	11	2024	2023	AudioTrack, GroupTrack, MasterTrack	Eq8, Compressor2, Reverb		
strollin acoustic	./__acoustic tracks/_acoustic jams sorted/4tr strollin acoustic Project/strollin acoustic.als	11.0_11202	0.03	2024-11-02 21:45:21	2023-05-29 22:45:38	5	11	2024	2023	AudioTrack, MasterTrack	Eq8, StereoGain, PluginDevice	iZotope Ozone 5	
western shffl	./__acoustic tracks/_acoustic jams sorted/3tr surfy western acoustic shuff am-dm-1m 12bar Project/western shffl.als	11.0_11202	0.21	2024-11-02 21:46:20	2023-06-19 14:41:54	20	11	2024	2023	AudioTrack, GroupTrack, MidiTrack, MasterTrack	PluginDevice, Eq8, Reverb, Gate, Compressor2	Guitar Rig 5, Maschine 2, Komplete Kontrol	
room floor dual acoustics am-g-bm 3.5	./__acoustic tracks/_acoustic jams sorted/3tr+dr room floor dual acoustics am-g-bm 3.5 Project/room floor dual acoustics am-g-bm 3.5.als	11.0_11300	0.03	2024-12-02 22:43:48	2024-12-02 22:43:48	5	11	2024	2024	AudioTrack, MasterTrack	StereoGain		
Untitled	./____guitarbeet/70/seabaerd/Untitled.als	11.0_11300	0.04	2024-11-02 23:56:16	2024-04-03 23:16:02	4	11	2024	2024	AudioTrack, MasterTrack	PluginDevice	Guitar Rig 5	
1tr Untitled2	./__acoustic tracks/_acoustic jams sorted/source projects/1tr Untitled2.als	11.0_436	0.01	2024-11-03 00:00:13	2022-12-04 23:07:17	3	11	2024	2022	AudioTrack, MasterTrack			
4-2022-movin	./__acoustic tracks/_acoustic jams sorted/source projects/4-2022-movin.als	11.0_436	0.01	2024-11-03 00:01:24	2022-12-02 20:59:41	2	11	2024	2022	AudioTrack, MasterTrack	Tube, PluginDevice	GS-201	
aocoustic jamm stairwell	./__acoustic tracks/_acoustic jams sorted/source projects/aocoustic jamm stairwell.als	11.0_436	0.01	2024-11-03 00:01:34	2022-09-13 22:11:03	3	11	2024	2022	AudioTrack, MasterTrack	PluginDevice	iZotope Ozone 5	
1tr zoom_rec_acoustic_vox	./__acoustic tracks/_acoustic jams sorted/source projects/1tr zoom_rec_acoustic_vox.als	11.0_436	0.01	2024-11-03 00:00:23	2022-12-04 23:01:13	2	11	2024	2022	AudioTrack, MasterTrack			
Untitled acoustic zoom jam	./__acoustic tracks/_acoustic jams sorted/source projects/Untitled acoustic zoom jam.als	11.0_436	0.01	2024-11-03 00:01:26	2022-07-07 00:18:04	3	11	2024	2022	AudioTrack, MasterTrack	PluginDevice	iZotope Ozone 5	
starewell aocusticf	./__acoustic tracks/_acoustic jams sorted/source projects/starewell aocusticf Project/starewell aocusticf.als	11.0_436	0.02	2024-11-02 21:49:18	2022-07-19 01:22:10	2	11	2024	2022	AudioTrack, MasterTrack	PluginDevice	Guitar Rig 5	
2tr raw acoustic--slow zoom jam 	./__acoustic tracks/_acoustic jams sorted/source projects/2tr raw acoustic--slow zoom jam  Project/2tr raw acoustic--slow zoom jam .als	11.0_436	0.01	2024-11-02 21:49:30	2022-03-10 01:02:15	5	11	2024	2022	AudioTrack, MasterTrack			
jam unciut	./__acoustic tracks/_acoustic jams sorted/source projects/jam unciut Project/jam unciut.als	11.0_436	0.03	2024-11-02 21:49:31	2022-07-19 01:13:41	2	11	2024	2022	AudioTrack, MasterTrack	PluginDevice, Echo, MultibandDynamics	Guitar Rig 5, iZotope Ozone 5	
2tr fx acoustic--slow zoom jam flangy	./__acoustic tracks/_acoustic jams sorted/source projects/2tr fx acoustic--slow zoom jam flangy Project/2tr fx acoustic--slow zoom jam flangy.als	11.0_11300	0.03	2024-11-30 23:36:07	2024-11-30 23:35:56	3	11	2024	2024	AudioTrack, MasterTrack	Flanger, Echo, AudioEffectGroupDevice		
acoustic river	./__acoustic tracks/_acoustic jams sorted/source projects/4tr raw acoustic--river Project/acoustic river.als	11.0_436	0.02	2024-11-02 21:49:59	2022-03-11 23:39:01	4	11	2024	2022	AudioTrack, MasterTrack	PluginDevice	GS-201	
acoustic bed jamms uncut	./__acoustic tracks/_acoustic jams sorted/source projects/2tr raw acoustic--bed jamms uncut Project/acoustic bed jamms uncut.als	11.0_436	0.02	2024-11-02 21:51:41	2022-03-09 23:58:40	3	11	2024	2022	AudioTrack, MasterTrack	Eq8, Compressor2		
bluessy acoustic mics floor	./__acoustic tracks/_acoustic jams sorted/source projects/2tr raw acoustic--bluessy mics floor track Project/bluessy acoustic mics floor.als	11.0_436	0.02	2024-11-02 21:51:41	2022-03-11 20:28:34	6	11	2024	2022	AudioTrack, MasterTrack	GlueCompressor		
bluessy acoustic mics floor downmixed	./__acoustic tracks/_acoustic jams sorted/source projects/2tr raw acoustic--bluessy mics floor track Project/bluessy acoustic mics floor downmixed.als	11.0_436	0.01	2024-11-02 21:52:56	2022-03-11 20:28:34	8	11	2024	2022	GroupTrack, AudioTrack, MasterTrack	GlueCompressor		
zoom room jam	./__acoustic tracks/_acoustic jams sorted/source projects/2tr raw acoustic--zoom room jam Project/zoom room jam.als	11.0_436	0.01	2024-11-03 00:01:24	2022-03-10 00:47:19	3	11	2024	2022	AudioTrack, MasterTrack			
blues shhffl lounge downmixed	./__acoustic tracks/_acoustic jams sorted/source projects/2tr raw acoustic--blues shhffl lounge Project/blues shhffl lounge downmixed.als	11.0_436	0.01	2024-11-03 00:00:52	2022-03-10 00:05:56	3	11	2024	2022	AudioTrack, MasterTrack			
blues shhffl lounge	./__acoustic tracks/_acoustic jams sorted/source projects/2tr raw acoustic--blues shhffl lounge Project/blues shhffl lounge.als	11.0_436	0.01	2024-11-03 00:00:52	2022-03-10 00:05:56	5	11	2024	2022	AudioTrack, MasterTrack			
2tr raw acoustic--jam proj 22 downmixed	./__acoustic tracks/_acoustic jams sorted/source projects/2tr raw acoustic--jam proj 22 Project/2tr raw acoustic--jam proj 22 downmixed.als	11.0_436	0.01	2024-11-03 00:01:03	2022-03-10 00:56:07	3	11	2024	2022	AudioTrack, MasterTrack	GlueCompressor		
2tr raw acoustic--jam proj 22	./__acoustic tracks/_acoustic jams sorted/source projects/2tr raw acoustic--jam proj 22 Project/2tr raw acoustic--jam proj 22.als	11.0_436	0.01	2024-11-03 00:01:03	2022-03-10 00:56:07	3	11	2024	2022	AudioTrack, MasterTrack	GlueCompressor		
_multi track jams acoustic	./__acoustic tracks/_acoustic jams sorted/source projects/_multi track jams acoustic Project/_multi track jams acoustic.als	11.0_436	0.02	2024-11-03 00:01:29	2022-12-14 20:11:23	6	11	2024	2022	GroupTrack, AudioTrack, MasterTrack	PluginDevice	GS-201	
2 track jam acoustic zbra downmix	./__acoustic tracks/_acoustic jams sorted/source projects/2tr raw acoustic dly-mic-- zbra  jam Project/2 track jam acoustic zbra downmix.als	11.0_436	0.01	2024-11-03 00:00:36	2022-03-11 20:30:57	5	11	2024	2022	AudioTrack, MasterTrack			
4 track jam acoustic zbra	./__acoustic tracks/_acoustic jams sorted/source projects/2tr raw acoustic dly-mic-- zbra  jam Project/4 track jam acoustic zbra.als	11.0_436	0.01	2024-11-03 00:00:36	2022-03-11 20:30:58	5	11	2024	2022	AudioTrack, MasterTrack			
one track jams	./__acoustic tracks/_acoustic jams sorted/source projects/_one track jams/one track jams.als	11.0_11300	0.07	2024-12-02 20:27:14	2024-12-02 20:27:14	4	11	2024	2024	AudioTrack, MasterTrack	Eq8, Echo, Overdrive, PluginDevice, MultibandDynamics	Guitar Rig 5, iZotope Ozone 5	
jam acoustic macbook13 mic	./__acoustic tracks/_acoustic jams sorted/source projects/1tr raw acoustic--jam  mb13 mic Project/jam acoustic macbook13 mic.als	11.0_436	0.13	2024-11-03 00:00:17	2022-03-06 00:51:32	6	11	2024	2022	AudioTrack, MidiTrack, MasterTrack	Eq8, PluginDevice, Compressor2	Guitar Rig 5, Komplete Kontrol, Maschine 2	
acosutice chill bunk acoustic make a plan	./__acoustic tracks/_acoustic jams sorted/source projects/1tr raw acoustic--chill bunk acoustic make a plan Project/acosutice chill bunk acoustic make a plan.als	11.0_436	0.01	2024-11-03 00:00:14	2022-03-06 00:51:32	2	11	2024	2022	AudioTrack, MasterTrack	Overdrive, Eq8		
1tr fx acoustic--chorus jam proj 22.3	./__acoustic tracks/_acoustic jams sorted/source projects/1tr fx acoustic--chorus jam proj 22.3 Project/1tr fx acoustic--chorus jam proj 22.3.als	11.0_436	0.02	2024-11-03 00:00:14	2022-03-06 00:51:33	2	11	2024	2022	AudioTrack, MasterTrack	PluginDevice	Guitar Rig 5	
guitar vox loops	./__acoustic tracks/_acoustic jams sorted/source projects/2tr raw acoustic--guitar vox lps Project/guitar vox loops.als	11.0_436	0.06	2024-11-03 00:01:03	2022-03-10 00:42:24	3	11	2024	2022	AudioTrack, MasterTrack	StereoGain, Eq8, PluginDevice	Reaktor 6 FX, Guitar Rig 5	
guitar vox loops downmixed	./__acoustic tracks/_acoustic jams sorted/source projects/2tr raw acoustic--guitar vox lps Project/guitar vox loops downmixed.als	11.0_436	0.06	2024-11-03 00:01:03	2022-03-10 00:42:24	3	11	2024	2022	AudioTrack, MasterTrack	StereoGain, Eq8, PluginDevice	Reaktor 6 FX, Guitar Rig 5	
acousitc jam nov2020	./__acoustic tracks/_acoustic jams sorted/source projects/4tr raw acoustic--jam nov2020 Project/acousitc jam nov2020.als	11.0_436	0.01	2024-11-03 00:01:26	2022-03-11 23:44:55	6	11	2024	2022	GroupTrack, AudioTrack, MasterTrack	GlueCompressor		
ehau sick jam 2tr	./__acoustic tracks/_acoustic jams sorted/source projects/2tr raw acoustic--ehau sick jam Project/ehau sick jam 2tr.als	11.0_436	0.02	2024-11-03 00:00:57	2022-03-10 00:10:09	3	11	2024	2022	AudioTrack, MasterTrack	Eq8, Compressor2		
2tr fx accoustic mics	./__acoustic tracks/_acoustic jams sorted/source projects/2tr fx accoustic mics Project/2tr fx accoustic mics.als	11.0_436	0.03	2024-11-03 00:00:31	2022-03-11 20:38:37	3	11	2024	2022	AudioTrack, MasterTrack	PluginDevice	Guitar Rig 5	
accssttiixx lofi	./__acoustic tracks/_acoustic jams sorted/source projects/2tr  fx acoustic--tiixx lofi Project/accssttiixx lofi.als	11.0_436	0.03	2024-11-03 00:00:26	2022-03-09 23:52:39	3	11	2024	2022	AudioTrack, MasterTrack	PluginDevice, AutoPan	Guitar Rig 5	
zoom acoustic jam	./__acoustic tracks/_acoustic jams sorted/source projects/1tr raw acoustic--zoom acoc jam Project/zoom acoustic jam.als	11.0_436	0.01	2024-11-03 00:00:23	2022-03-06 00:51:33	2	11	2024	2022	AudioTrack, MasterTrack	Echo		
